"1","CRC_BOT_letters Team","Y","3","3","5","9","23","2019-09-25 13:44:07","2019-12-16 11:24:36"
"2","Command Team","Y","3","3","5","10","27","2019-09-25 13:45:10","2019-12-16 15:40:42"
"5","CRC_Executive Team","Y","3","3","5","9","23","2019-11-21 11:10:25","2019-12-16 11:24:14"
"6","CRC_Badbank Team","N","3","3","5","9","23","2019-11-21 11:11:51","2019-12-16 11:26:48"
"7","CRC_BrComplaint_CustINC Team","Y","3","3","5","9","24","2019-11-21 11:13:03","2020-01-17 10:58:36"
"8","CRC_Badbank_Veto Team","Y","3","3","5","9","24","2019-11-21 11:14:01","2019-12-16 11:25:52"
"9","GB_CD11 Team","Y","3","3","5","4","18","2019-11-21 11:15:26","2019-12-16 15:51:21"
"10","GB_CD12 Team","Y","3","3","5","4","18","2019-11-21 11:16:32","2019-12-16 15:51:37"
"11","GB_CD13 Team","Y","3","3","5","4","18","2019-11-21 11:16:56","2019-12-16 15:52:02"
"12","GB_CD14 Team","Y","3","3","5","4","18","2019-11-21 11:19:12","2019-12-16 15:52:25"
"13","GB_CD15 Team","Y","3","3","5","4","18","2019-11-21 11:19:43","2019-12-16 15:52:40"
"14","AA01 Team","Y","3","3","5","4","2","2019-11-21 11:20:45","2019-11-21 11:20:45"
"15","AA05 Team","Y","3","3","5","4","2","2019-11-21 11:21:20","2019-11-21 11:21:20"
"16","AA06 Team","Y","3","3","5","4","2","2019-11-21 11:21:44","2019-11-21 11:21:44"
"17","CUNEX Team","Y","3","3","5","4","2","2019-11-21 11:22:31","2019-11-21 11:22:31"
"18","KPLUS06 Team","Y","3","3","5","4","2","2019-11-21 11:23:03","2019-11-21 11:23:03"
"19","KPLUS07 Team","Y","3","3","5","4","2","2019-11-21 11:23:33","2019-11-21 11:23:33"
"20","KPLUS08 Team","Y","3","3","5","4","2","2019-11-21 11:24:01","2019-11-21 11:24:01"
"21","Smart Pool Team","Y","3","3","5","4","20","2019-11-21 11:25:46","2019-12-16 15:46:52"
"22","SUSPEND01 Team","Y","3","3","5","4","20","2019-11-21 11:28:02","2019-12-16 15:47:06"
"23","SUSPEND02 Team","Y","3","3","5","4","20","2019-11-21 11:29:56","2019-12-16 15:47:22"
"24","SUSPEND03 Team","Y","3","3","5","4","20","2019-11-21 11:30:31","2019-12-16 15:48:38"
"25","BL01 Team","Y","3","3","5","4","16","2019-11-21 11:34:32","2019-12-16 15:43:12"
"26","BL02 Team","Y","3","3","5","4","16","2019-11-21 11:35:15","2019-12-16 15:43:25"
"27","BL03 Team","Y","3","3","5","4","16","2019-11-21 11:35:40","2019-12-16 16:10:45"
